Date,TempC,TempC_max,RelHumid,WindSpeed
01/01/2021,21.75,26.85,73.78,2.68
02/01/2021,15.95,20.99,75.49,4.47
03/01/2021,18.76,25.01,70.57,2.39
04/01/2021,20.96,27.1,70.18,1.89
05/01/2021,21.76,27.87,70.75,2.48
06/01/2021,21.89,26.72,77.33,1.65
07/01/2021,20.33,26.05,76.81,2.19
08/01/2021,21.28,27.57,69.79,1.18
09/01/2021,22.44,28.8,64.69,1.42
10/01/2021,23.69,29.57,59.9,1.21
11/01/2021,19.82,24.01,71.63,2.26
12/01/2021,21.63,28.4,68.63,1.72
13/01/2021,21.87,27.94,71.87,1.49
14/01/2021,21.35,26.95,77.51,1.84
15/01/2021,21.62,27.14,74.55,2.07
16/01/2021,22.33,28.27,72.19,1.71
17/01/2021,22.45,29.55,59.38,2.1
18/01/2021,21.94,28.8,68.46,1.72
19/01/2021,22.08,29.17,60.11,1.18
20/01/2021,23.59,31.81,54.12,1.78
21/01/2021,23.33,31.19,58.23,2.37
22/01/2021,23.32,32.21,49.76,1.9
23/01/2021,23.24,32.6,46.39,1.58
24/01/2021,21.92,30.14,67.58,4.65
25/01/2021,17.83,20.66,82.9,6.18
26/01/2021,20.02,25.36,80.62,3.85
27/01/2021,19.44,23.06,87.4,3.57
28/01/2021,20.56,25.23,87.02,2.17
29/01/2021,20.06,25.11,83.69,2.7
30/01/2021,20.32,24.35,78.82,1.9
31/01/2021,20.23,26.07,78.43,2.12
01/02/2021,19.76,24.74,80.87,1.5
02/02/2021,15.89,19.74,86,4.52
03/02/2021,17.88,22.68,84.67,2.49
04/02/2021,19.66,24.64,83.67,1.03
05/02/2021,19.27,24.19,83.49,1.54
06/02/2021,18.12,21.85,86.14,1.46
07/02/2021,17.93,22.77,79.9,1.19
08/02/2021,20.16,26.31,71.52,0.92
09/02/2021,20.65,25.79,75.55,1.11
10/02/2021,21.84,27.84,71.41,1.14
11/02/2021,21.36,28.08,69.43,2
12/02/2021,20.45,27.6,71.25,2.63
13/02/2021,20.63,26.79,73.88,2.38
14/02/2021,20.63,25.85,80.44,1.68
15/02/2021,21.54,27.59,76.47,3.2
16/02/2021,18.8,27.02,62.76,4.6
17/02/2021,19.07,28.51,58.68,2.31
18/02/2021,21.34,29.96,53.74,2.2
19/02/2021,22.45,30.72,51.73,1.62
20/02/2021,23.12,31.39,42.01,2.57
21/02/2021,22.04,30.56,44.75,2.14
22/02/2021,18.81,22.05,82.04,2.44
23/02/2021,19.7,24.85,76.9,2.5
24/02/2021,19.15,23.6,77.45,1.14
25/02/2021,19.54,24.99,75.78,1.87
26/02/2021,20.07,25.28,72.64,1.04
